VideoGameID,Title,Publisher,Year,Availability,Inventory,Genre
V0001,Wii Sports,Nintendo,2006,Available,8,Sports
V0002,Super Mario Bros.,Nintendo,1985,Available,10,Platformer/Racing
V0003,Counter-Strike: Global Offensive,Valve,2012,Available,12,Shooter
V0004,Mario Kart Wii,Nintendo,2008,Available,13,Platformer/Racing
V0005,PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,2017,Available,2,Action/Adventure
V0006,Minecraft,Mojang,2010,Available,4,Action/Adventure
V0007,Wii Sports Resort,Nintendo,2009,Available,4,Sports
V0008,Pokemon Red / Green / Blue Version,Nintendo,1998,Available,12,RPG
V0009,New Super Mario Bros.,Nintendo,2006,Available,11,Platformer/Racing
V0010,New Super Mario Bros. Wii,Nintendo,2009,Available,2,Platformer/Racing
V0011,Tetris,Nintendo,1989,Available,4,Puzzle
V0012,Call of Duty: Modern Warfare,Activision,2019,Available,7,Shooter
V0013,Duck Hunt,Nintendo,1985,Available,14,Action/Adventure
V0014,Wii Play,Nintendo,2007,Available,9,Action/Adventure
V0015,Mario Kart 8 Deluxe,Nintendo,2017,Available,14,Platformer/Racing
V0016,Kinect Adventures!,Microsoft Game Studios,2010,Available,8,Adventure
V0017,Nintendogs,Nintendo,2005,Available,1,Action/Adventure
V0018,Mario Kart DS,Nintendo,2005,Available,9,Platformer/Racing
V0019,Pokemon Gold / Silver Version,Nintendo,2000,Available,14,RPG
V0020,Wii Fit,Nintendo,2008,Available,10,Action/Adventure
V0021,Wii Fit Plus,Nintendo,2009,Available,6,Action/Adventure
V0022,Super Mario World,Nintendo,1991,Available,7,Platformer/Racing
V0023,Grand Theft Auto V,Rockstar Games,2013,Available,3,Action/Adventure
V0025,Brain Age: Train Your Brain in Minutes a Day,Nintendo,2006,Available,10,Action/Adventure
V0026,Super Smash Bros. Ultimate,Nintendo,2018,Available,5,Action/Adventure
V0027,Mario Kart 7,Nintendo,2011,Available,12,Platformer/Racing
V0028,Super Mario Land,Nintendo,1989,Available,3,Platformer/Racing
V0029,Pokemon Diamond / Pearl Version,Nintendo,2007,Available,8,RPG
V0030,Super Mario Odyssey,Nintendo,2017,Available,5,Platformer/Racing
V0031,The Legend of Zelda: Breath of the Wild,Nintendo,2017,Available,1,Adventure
V0032,Pokemon Sword / Shield,Nintendo,2019,Available,3,RPG
V0033,Grand Theft Auto: San Andreas,Rockstar Games,2004,Available,1,Action/Adventure
V0034,Super Mario Bros. 3,Nintendo,1990,Available,6,Platformer/Racing
V0035,Garry's Mod,Valve,2006,Available,5,Action/Adventure
V0036,Pokemon X/Y,Nintendo,2013,Available,3,RPG
V0037,Uncharted 4: A Thief's End,Sony Interactive Entertainment,2016,Available,12,Adventure
V0038,Pokemon Ruby / Sapphire Version,Nintendo,2003,Available,13,RPG
V0039,Pokemon Sun/Moon,Nintendo,2016,Available,6,RPG
V0040,Grand Theft Auto: Vice City,Rockstar Games,2002,Available,15,Action/Adventure
V0042,Pokemon Black / White Version,Nintendo,2011,Available,4,RPG
V0043,Call of Duty: Black Ops 3,Activision,2015,Available,10,Shooter
V0044,Counter-Strike: Source,VU Games,2004,Available,12,Shooter
V0045,Sonic the Hedgehog,Sega,1991,Available,4,Action/Adventure
V0046,Gran Turismo 3: A-Spec,Sony Computer Entertainment,2001,Available,3,Action/Adventure
V0047,Brain Age 2: More Training in Minutes a Day,Nintendo,2007,Available,4,Action/Adventure
V0048,Call of Duty: Modern Warfare 3,Activision,2011,Available,13,Shooter
V0049,Call of Duty: Black Ops,Activision,2010,Available,5,Shooter
V0050,Pokemon Yellow: Special Pikachu Edition,Nintendo,1999,Available,2,RPG
V0051,Halo 3,Microsoft Game Studios,2007,Available,5,Action/Adventure
V0052,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,2014,Available,6,RPG
V0053,Terraria,Unknown,2011,Available,10,Action/Adventure
V0054,Red Dead Redemption 2,Rockstar Games,2018,Available,8,Action/Adventure
V0055,Call of Duty: Black Ops II,Activision,2012,Available,9,Shooter
V0057,Call of Duty: Modern Warfare 2,Activision,2009,Available,3,Shooter
V0058,Animal Crossing: New Horizons,Nintendo,2020,Available,6,Simulation
V0059,Call of Duty: WWII,Activision,2017,Available,2,Shooter
V0061,New Super Mario Bros. 2,Nintendo,2012,Available,14,Platformer/Racing
V0062,Super Smash Bros. Brawl,Nintendo,2008,Available,4,Action/Adventure
V0063,Marvel's Spider-Man,Sony Interactive Entertainment,2018,Available,9,Action/Adventure
V0064,Grand Theft Auto III,Rockstar Games,2001,Available,9,Action/Adventure
V0065,Portal 2,Valve,2011,Available,4,Puzzle
V0067,Super Mario Galaxy,Nintendo,2007,Available,11,Platformer/Racing
V0068,Pokemon Heart Gold / Soul Silver Version,Nintendo,2010,Available,12,RPG
V0069,Super Mario 3D Land,Nintendo,2011,Available,10,Platformer/Racing
V0072,Animal Crossing: New Leaf,Nintendo,2013,Available,2,Simulation
V0073,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,2015,Available,1,Action/Adventure
V0074,Diablo III,Blizzard Entertainment,2012,Available,4,Action/Adventure
V0075,Half-Life 2,VU Games,2004,Available,1,Action/Adventure
V0076,Pokemon FireRed / LeafGreen Version,Nintendo,2004,Available,13,RPG
V0077,World of Warcraft,Blizzard Entertainment,2004,Available,12,Action/Adventure
V0078,"Pokemon: Let's Go, Pikachu/Eevee",Nintendo,2018,Available,13,RPG
V0079,Gran Turismo 5,Sony Computer Entertainment,2010,Available,1,Action/Adventure
V0080,Super Mario 64,Nintendo,1996,Available,4,Platformer/Racing
V0081,FIFA 18,EA Sports,2017,Available,15,Sports
V0082,The Last of Us Remastered,Sony Computer Entertainment,2014,Available,3,Action/Adventure
V0083,Gran Turismo 4,Sony Computer Entertainment,2005,Available,12,Action/Adventure
V0084,Animal Crossing: Wild World,Nintendo,2005,Available,6,Simulation
V0085,Super Mario Land 2: 6 Golden Coins,Nintendo,1992,Available,8,Platformer/Racing
V0086,Grand Theft Auto IV,Rockstar Games,2008,Available,12,Action/Adventure
V0087,Super Mario 64 DS,Nintendo,2004,Available,6,Platformer/Racing
V0088,God of War (2018),Sony Interactive Entertainment,2018,Available,15,Action/Adventure
V0089,StarCraft,Blizzard Entertainment,1998,Available,12,Strategy
V0090,FIFA 17,Electronic Arts,2016,Available,12,Sports
