VideoGameID,Title,Publisher,Year,Availability,Inventory,Genre,Rank
V0001,Wii Sports,Nintendo,2006,Available,8,Sports,30
V0002,Super Mario Bros.,Nintendo,1985,Available,10,Platformer/Racing,11
V0003,Counter-Strike: Global Offensive,Valve,2012,Available,12,Shooter,31
V0004,Mario Kart Wii,Nintendo,2008,Available,13,Platformer/Racing,32
V0005,PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,2017,Available,2,Action/Adventure,33
V0006,Minecraft,Mojang,2010,Available,4,Action/Adventure,34
V0007,Wii Sports Resort,Nintendo,2009,Available,4,Sports,35
V0008,Pokemon Red / Green / Blue Version,Nintendo,1998,Available,12,RPG,36
V0009,New Super Mario Bros.,Nintendo,2006,Available,11,Platformer/Racing,37
V0010,New Super Mario Bros. Wii,Nintendo,2009,Available,2,Platformer/Racing,38
V0011,Tetris,Nintendo,1989,Available,4,Puzzle,24
V0012,Call of Duty: Modern Warfare,Activision,2019,Available,7,Shooter,39
V0013,Duck Hunt,Nintendo,1985,Available,14,Action/Adventure,40
V0014,Wii Play,Nintendo,2007,Available,9,Action/Adventure,41
V0015,Mario Kart 8 Deluxe,Nintendo,2017,Available,14,Platformer/Racing,42
V0016,Kinect Adventures!,Microsoft Game Studios,2010,Available,8,Adventure,43
V0017,Nintendogs,Nintendo,2005,Available,1,Action/Adventure,44
V0018,Mario Kart DS,Nintendo,2005,Available,9,Platformer/Racing,45
V0019,Pokemon Gold / Silver Version,Nintendo,2000,Available,14,RPG,46
V0020,Wii Fit,Nintendo,2008,Available,10,Action/Adventure,47
V0021,Wii Fit Plus,Nintendo,2009,Available,6,Action/Adventure,18
V0022,Super Mario World,Nintendo,1991,Available,7,Platformer/Racing,48
V0023,Grand Theft Auto V,Rockstar Games,2013,Available,3,Action/Adventure,49
V0025,Brain Age: Train Your Brain in Minutes a Day,Nintendo,2006,Available,10,Action/Adventure,50
V0026,Super Smash Bros. Ultimate,Nintendo,2018,Available,5,Action/Adventure,51
V0027,Mario Kart 7,Nintendo,2011,Available,12,Platformer/Racing,52
V0028,Super Mario Land,Nintendo,1989,Available,3,Platformer/Racing,53
V0029,Pokemon Diamond / Pearl Version,Nintendo,2007,Available,8,RPG,54
V0030,Super Mario Odyssey,Nintendo,2017,Available,5,Platformer/Racing,19
V0031,The Legend of Zelda: Breath of the Wild,Nintendo,2017,Available,1,Adventure,55
V0032,Pokemon Sword / Shield,Nintendo,2019,Available,3,RPG,56
V0033,Grand Theft Auto: San Andreas,Rockstar Games,2004,Available,1,Action/Adventure,57
V0034,Super Mario Bros. 3,Nintendo,1990,Available,6,Platformer/Racing,58
V0035,Garry's Mod,Valve,2006,Available,5,Action/Adventure,59
V0036,Pokemon X/Y,Nintendo,2013,Available,3,RPG,17
V0037,Uncharted 4: A Thief's End,Sony Interactive Entertainment,2016,Available,12,Adventure,60
V0038,Pokemon Ruby / Sapphire Version,Nintendo,2003,Available,13,RPG,61
V0039,Pokemon Sun/Moon,Nintendo,2016,Available,6,RPG,62
V0040,Grand Theft Auto: Vice City,Rockstar Games,2002,Available,15,Action/Adventure,63
V0042,Pokemon Black / White Version,Nintendo,2011,Available,4,RPG,64
V0043,Call of Duty: Black Ops 3,Activision,2015,Available,10,Shooter,65
V0044,Counter-Strike: Source,VU Games,2004,Available,12,Shooter,66
V0045,Sonic the Hedgehog,Sega,1991,Available,4,Action/Adventure,67
V0046,Gran Turismo 3: A-Spec,Sony Computer Entertainment,2001,Available,3,Action/Adventure,68
V0047,Brain Age 2: More Training in Minutes a Day,Nintendo,2007,Available,4,Action/Adventure,69
V0048,Call of Duty: Modern Warfare 3,Activision,2011,Available,13,Shooter,70
V0049,Call of Duty: Black Ops,Activision,2010,Available,5,Shooter,71
V0050,Pokemon Yellow: Special Pikachu Edition,Nintendo,1999,Available,2,RPG,72
V0051,Halo 3,Microsoft Game Studios,2007,Available,5,Action/Adventure,73
V0052,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,2014,Available,6,RPG,74
V0053,Terraria,Unknown,2011,Available,10,Action/Adventure,75
V0054,Red Dead Redemption 2,Rockstar Games,2018,Available,8,Action/Adventure,76
V0055,Call of Duty: Black Ops II,Activision,2012,Available,9,Shooter,1
V0057,Call of Duty: Modern Warfare 2,Activision,2009,Available,3,Shooter,77
V0058,Animal Crossing: New Horizons,Nintendo,2020,Available,6,Simulation,78
V0059,Call of Duty: WWII,Activision,2017,Available,2,Shooter,79
V0061,New Super Mario Bros. 2,Nintendo,2012,Available,14,Platformer/Racing,80
V0062,Super Smash Bros. Brawl,Nintendo,2008,Available,4,Action/Adventure,81
V0063,Marvel's Spider-Man,Sony Interactive Entertainment,2018,Available,9,Action/Adventure,82
V0064,Grand Theft Auto III,Rockstar Games,2001,Available,9,Action/Adventure,83
V0065,Portal 2,Valve,2011,Available,4,Puzzle,84
V0067,Super Mario Galaxy,Nintendo,2007,Available,11,Platformer/Racing,85
V0068,Pokemon Heart Gold / Soul Silver Version,Nintendo,2010,Available,12,RPG,86
V0069,Super Mario 3D Land,Nintendo,2011,Available,10,Platformer/Racing,87
V0072,Animal Crossing: New Leaf,Nintendo,2013,Available,2,Simulation,8
V0073,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,2015,Available,1,Action/Adventure,88
V0074,Diablo III,Blizzard Entertainment,2012,Available,4,Action/Adventure,89
V0075,Half-Life 2,VU Games,2004,Available,1,Action/Adventure,90
V0076,Pokemon FireRed / LeafGreen Version,Nintendo,2004,Available,13,RPG,91
V0077,World of Warcraft,Blizzard Entertainment,2004,Available,12,Action/Adventure,92
V0078,"Pokemon: Let's Go, Pikachu/Eevee",Nintendo,2018,Available,13,RPG,93
V0079,Gran Turismo 5,Sony Computer Entertainment,2010,Available,1,Action/Adventure,94
V0080,Super Mario 64,Nintendo,1996,Available,4,Platformer/Racing,7
V0081,FIFA 18,EA Sports,2017,Available,15,Sports,95
V0082,The Last of Us Remastered,Sony Computer Entertainment,2014,Available,3,Action/Adventure,96
V0083,Gran Turismo 4,Sony Computer Entertainment,2005,Available,12,Action/Adventure,97
V0084,Animal Crossing: Wild World,Nintendo,2005,Available,6,Simulation,98
V0085,Super Mario Land 2: 6 Golden Coins,Nintendo,1992,Available,8,Platformer/Racing,99
V0086,Grand Theft Auto IV,Rockstar Games,2008,Available,12,Action/Adventure,100
V0087,Super Mario 64 DS,Nintendo,2004,Available,6,Platformer/Racing,101
V0088,God of War (2018),Sony Interactive Entertainment,2018,Available,15,Action/Adventure,102
V0089,StarCraft,Blizzard Entertainment,1998,Available,12,Strategy,25
V0090,FIFA 17,Electronic Arts,2016,Available,12,Sports,21
V0091,Gran Turismo,Sony Computer Entertainment,1998,Available,4,Action/Adventure,103
V0095,Super Mario All-Stars,Nintendo,1993,Available,4,Platformer/Racing,104
V0096,Call of Duty: Ghosts,Activision,2013,Available,3,Shooter,105
V0097,Just Dance 3,Ubisoft,2011,Available,7,Action/Adventure,106
V0099,Splatoon 2,Nintendo,2017,Available,7,Action/Adventure,107
V0100,Super Mario Party,Nintendo,2018,Available,14,Platformer/Racing,108
V0101,Horizon: Zero Dawn,Sony Interactive Entertainment,2017,Available,10,Action/Adventure,109
V0102,RollerCoaster Tycoon 3,Atari,2004,Available,12,Action/Adventure,110
V0103,Halo: Reach,Microsoft Game Studios,2010,Available,13,Action/Adventure,111
V0104,Portal,Valve Corporation,2008,Available,8,Puzzle,112
V0105,Halo 4,Microsoft Studios,2012,Available,7,Action/Adventure,113
V0106,Final Fantasy VII,Sony Computer Entertainment,1997,Available,6,RPG,114
V0107,Mario Kart 64,Nintendo,1997,Available,5,Platformer/Racing,115
V0108,Super Smash Bros. for 3DS,Nintendo,2014,Available,15,Action/Adventure,116
V0109,Call of Duty 4: Modern Warfare,Activision,2007,Available,6,Shooter,26
V0110,Gran Turismo 2,Sony Computer Entertainment,1999,Available,6,Action/Adventure,117
V0111,Wii Party,Nintendo,2010,Available,3,Action/Adventure,6
V0112,Call of Duty: Black Ops IIII,Activision,2018,Available,3,Shooter,118
V0113,Mario Party DS,Nintendo,2007,Available,11,Platformer/Racing,119
V0114,Donkey Kong Country,Nintendo,1994,Available,4,Action/Adventure,120
V0115,Half-Life,Sierra Entertainment,1998,Available,9,Action/Adventure,121
V0116,Uncharted 3: Drake's Deception,Sony Computer Entertainment,2011,Available,8,Adventure,122
V0117,FIFA 19,Electronic Arts,2018,Available,6,Sports,123
V0118,Rust,Facepunch Studios,2018,Available,2,Action/Adventure,124
V0119,The Elder Scrolls V: Skyrim,Bethesda Softworks,2011,Available,2,RPG,125
V0120,Mario Party 8,Nintendo,2007,Available,2,Platformer/Racing,126
V0121,Pokemon: Ultra Sun and Ultra Moon,Nintendo,2017,Available,11,RPG,127
V0122,Super Mario Kart,Nintendo,1992,Available,6,Platformer/Racing,128
V0124,Final Fantasy VIII,Square EA,1999,Available,3,RPG,129
V0125,Final Fantasy X,Square,2001,Available,8,RPG,130
V0126,Pokemon Black 2 and White 2,Nintendo,2012,Available,14,RPG,131
V0127,Call of Duty: Infinite Warfare,Activision,2016,Available,7,Shooter,132
V0128,Fallout 4,Bethesda Softworks,2015,Available,3,Action/Adventure,133
V0129,Mario Kart 8,Nintendo,2014,Available,11,Platformer/Racing,134
V0130,Tekken 3,Namco,1998,Available,12,Fighting,135
V0131,FIFA 16,EA Sports,2015,Available,15,Sports,136
V0132,The Last of Us,Sony Computer Entertainment America,2013,Available,15,Action/Adventure,137
V0133,GoldenEye 007,Nintendo,1997,Available,12,Action/Adventure,138
V0134,Star Wars Battlefront (2015),Electronic Arts,2015,Available,12,Action/Adventure,139
V0135,FIFA 13,EA Sports,2012,Available,4,Sports,140
V0136,NBA 2K20,2K Sports,2019,Available,7,Sports,141
V0137,Halo 2,Microsoft Game Studios,2004,Available,10,Action/Adventure,142
V0138,The Sims 3,Electronic Arts,2009,Available,7,Simulation,143
V0139,Grand Theft Auto: Liberty City Stories,Rockstar Games,2005,Available,6,Action/Adventure,144
V0140,Pac-Man,Atari,1982,Available,8,Action/Adventure,145
V0141,God of War III,Sony Computer Entertainment,2010,Available,13,Action/Adventure,146
V0142,Pokemon Platinum Version,Nintendo,2009,Available,15,RPG,147
V0143,The Legend of Zelda: Ocarina of Time,Nintendo,1998,Available,12,Adventure,148
V0144,Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,1997,Available,6,Action/Adventure,149
V0145,Call of Duty: Advanced Warfare,Activision,2014,Available,2,Shooter,150
V0146,Call of Duty: World at War,Activision,2008,Available,4,Shooter,151
V0147,Super Mario Bros. 2,Nintendo,1988,Available,6,Platformer/Racing,152
V0148,Super Mario Galaxy 2,Nintendo,2010,Available,1,Platformer/Racing,153
V0149,Super Smash Bros. Melee,Nintendo,2001,Available,12,Action/Adventure,154
V0151,Battlefield 3,Electronic Arts,2011,Available,6,Shooter,155
V0152,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Nintendo,2016,Available,13,Action/Adventure,156
V0153,The Legend of Zelda: Twilight Princess,Nintendo,2006,Available,7,Adventure,157
V0154,Battlefield 1,Electronic Arts,2016,Available,12,Shooter,158
V0156,Need for Speed Underground,Electronic Arts,2003,Available,14,Racing,159
V0157,The Binding of Isaac,Edmund McMillen,2011,Available,15,Action/Adventure,160
V0158,FIFA 20,Electronic Arts,2019,Available,6,Sports,161
V0159,Crash Bandicoot 3: Warped,Sony Computer Entertainment,1998,Available,14,Action/Adventure,162
V0160,Pokemon Emerald Version,Nintendo,2005,Available,1,RPG,163
V0161,Guild Wars 2,NCSoft,2012,Available,3,Action/Adventure,164
V0162,Need for Speed Underground 2,Electronic Arts,2004,Available,15,Racing,165
V0163,Just Dance 4,Ubisoft,2012,Available,15,Action/Adventure,166
V0164,Mario Kart: Double Dash!!,Nintendo,2003,Available,5,Platformer/Racing,167
V0165,Medal of Honor: Frontline,Electronic Arts,2002,Available,14,Action/Adventure,168
V0166,Crash Bandicoot,Sony Computer Entertainment,1996,Available,13,Action/Adventure,169
V0167,Uncharted 2: Among Thieves,Sony Computer Entertainment,2009,Available,1,Adventure,170
V0169,FIFA Soccer 12,EA Sports,2011,Available,15,Sports,171
V0170,FIFA 14,EA Sports,2013,Available,10,Sports,172
V0172,New Super Mario Bros. U Deluxe,Nintendo,2019,Available,14,Platformer/Racing,173
V0173,Tomodachi Life,Nintendo,2014,Available,4,Action/Adventure,174
V0174,Red Dead Redemption,Rockstar Games,2011,Available,5,Action/Adventure,175
V0175,Donkey Kong Country Returns,Nintendo,2010,Available,4,Action/Adventure,176
V0176,The Legend of Zelda,Nintendo,1987,Available,11,Adventure,177
V0177,Assassin's Creed III,Ubisoft,2012,Available,13,Action/Adventure,178
V0178,Guild Wars,NCSoft,2005,Available,6,Action/Adventure,179
V0181,Final Fantasy XII,Square Enix,2006,Available,1,RPG,180
V0182,Pokemon Crystal Version,Nintendo,2001,Available,8,RPG,181
V0183,Halo 3: ODST,Microsoft Game Studios,2009,Available,10,Action/Adventure,182
V0185,Luigi's Mansion 3,Nintendo,2019,Available,2,Action/Adventure,183
V0186,FIFA 15,EA Sports,2014,Available,12,Sports,184
V0187,Kingdom Hearts,Square EA,2002,Available,3,Action/Adventure,185
V0188,Myst,Broderbund,1995,Available,11,Action/Adventure,10
V0189,Street Fighter II: The World Warrior,Capcom,1992,Available,7,Fighting,12
V0190,Driver,GT Interactive,1999,Available,3,Action/Adventure,16
V0192,Luigi's Mansion: Dark Moon,Nintendo,2013,Available,2,Action/Adventure,186
V0193,Big Brain Academy,Nintendo,2006,Available,12,Action/Adventure,187
V0195,Metal Gear Solid 2: Sons of Liberty,Konami,2001,Available,11,Action/Adventure,188
V0196,The Legend of Zelda: Ocarina of Time 3D,Nintendo,2011,Available,11,Adventure,189
V0197,Cities: Skylines,Paradox Interactive,2015,Available,4,Action/Adventure,190
V0198,Metal Gear Solid,Konami,1998,Available,2,Action/Adventure,191
V0199,Sonic the Hedgehog 2,Sega,1992,Available,11,Action/Adventure,192
V0200,Metal Gear Solid 4: Guns of the Patriots,Konami,2008,Available,11,Action/Adventure,193
V0201,Euro Truck Simulator 2,SCS Software,2013,Available,4,Simulation,194
V0202,Mario Kart: Super Circuit,Nintendo,2001,Available,8,Platformer/Racing,195
V0203,Super Mario Sunshine,Nintendo,2002,Available,13,Platformer/Racing,196
V0204,Super Mario 3D World,Nintendo,2013,Available,1,Platformer/Racing,197
V0205,Age of Empires II: HD Edition,Microsoft Studios,2013,Available,3,Strategy,198
V0206,New Super Mario Bros. U,Nintendo,2012,Available,15,Platformer/Racing,199
